geo_id,type,coordinates,highway
118,Point,"[116.41551753632379, 39.908267279561315]",4
119,Point,"[116.41152199752487, 39.908161909857725]",4
120,Point,"[116.41142931827846, 39.90815812061822]",4
121,Point,"[116.41152190784979, 39.90824271339874]",10
122,Point,"[116.41152181494907, 39.90829821583411]",10
123,Point,"[116.41149910699313, 39.90897884823173]",10
124,Point,"[116.41149165696658, 39.909357265586976]",10
125,Point,"[116.41807312429474, 39.906232381149195]",6
126,Point,"[116.41614236966244, 39.906148591414485]",6
127,Point,"[116.41829839836373, 39.9063192907435]",6
128,Point,"[116.41825594500033, 39.90412821169431]",4
129,Point,"[116.41830864948066, 39.90363276736463]",4
130,Point,"[116.41833330479987, 39.90340144658821]",4
131,Point,"[116.41834588194192, 39.90328303595703]",4
132,Point,"[116.41836068932463, 39.90262840039821]",4
133,Point,"[116.41836138503098, 39.902598098745656]",4
134,Point,"[116.41837380754819, 39.902050668918825]",4
135,Point,"[116.32541250234037, 39.91098751565799]",10
136,Point,"[116.32627603654866, 39.91097744536534]",10
137,Point,"[116.32545952758697, 39.91354261338523]",6
138,Point,"[116.32808122059001, 39.913498174976404]",6
139,Point,"[116.32809216706218, 39.91287366920807]",6
140,Point,"[116.32387036857277, 39.91101241850252]",10
141,Point,"[116.32219547231965, 39.91104869388604]",10
142,Point,"[116.32171481835277, 39.911059101821515]",10
143,Point,"[116.33465871389497, 39.911123540056295]",10
144,Point,"[116.33446145602582, 39.91107436017498]",10
145,Point,"[116.33398114019538, 39.91094533476419]",10
146,Point,"[116.33368595372774, 39.910858765742475]",10
147,Point,"[116.33486312112947, 39.910638710700596]",8
148,Point,"[116.33491722876073, 39.91050900874388]",8
149,Point,"[116.33504809252861, 39.91022274703206]",8
150,Point,"[116.33514368017396, 39.90997361934738]",8
151,Point,"[116.35333671270159, 39.96520828416884]",13
152,Point,"[116.35352851342154, 39.96118716633624]",13
153,Point,"[116.35349145544146, 39.9684677866025]",12
154,Point,"[116.35352740248031, 39.966652778847376]",12
155,Point,"[116.37008643723283, 39.96810465600177]",4
156,Point,"[116.37012614606981, 39.967640594240855]",4
157,Point,"[116.36883517051794, 39.96807575227534]",10
158,Point,"[116.32149218563833, 39.907502235582626]",10
159,Point,"[116.32165357554153, 39.90779354733435]",10
160,Point,"[116.32117569368047, 39.907503149830426]",5
161,Point,"[116.32118489689869, 39.90736816097939]",9
162,Point,"[116.32104891697008, 39.9075040154973]",4
163,Point,"[116.3168009926885, 39.907534566669376]",4
164,Point,"[116.31680077674903, 39.907410660892296]",11
165,Point,"[116.315114858124, 39.90753345309343]",4
166,Point,"[116.31680062947387, 39.90783507907431]",10
167,Point,"[116.32891679108006, 39.91093435498692]",10
168,Point,"[116.33051191332204, 39.91091739625737]",10
169,Point,"[116.32865239393539, 39.910950552392386]",10
170,Point,"[116.32892526537559, 39.90898058698375]",10
171,Point,"[116.37033581540098, 39.965375502856304]",4
172,Point,"[116.37025997455662, 39.96764338455468]",10
173,Point,"[116.33464467230411, 39.91821541337945]",10
174,Point,"[116.33482949600334, 39.918218567462006]",10
175,Point,"[116.33937681458434, 39.918295962133996]",10
176,Point,"[116.3346306164346, 39.917230645214346]",8
177,Point,"[116.33458491105159, 39.914039723079]",8
178,Point,"[116.33483008616366, 39.918129464865714]",10
179,Point,"[116.33937880514657, 39.91818476127569]",10
180,Point,"[116.33464729508441, 39.91914515722212]",8
181,Point,"[116.33468995417405, 39.92281829117779]",8
182,Point,"[116.34498925699278, 39.918380971034644]",10
183,Point,"[116.34483851784839, 39.918378988945676]",10
184,Point,"[116.3464758838769, 39.91835364048882]",10
185,Point,"[116.34498265232449, 39.918461762059664]",8
186,Point,"[116.35335503758606, 39.91840944927437]",10
187,Point,"[116.3509399280856, 39.91836352368787]",10
188,Point,"[116.35618139504989, 39.918406098694035]",10
