id;cpath
1;21578,202,203,204,205,206,207,208,209,210,4185,4186,4187,211,39056,44695,49664,49662,49663,49668,49669,39068,4084,4085,4086,4087,4088,16320,16321,16322,16323,29284,29285,4178
3;9689,2156,2157,30930,30931,30932,30933,9837,9720,9723,9845,9846,9847,9848,9849,47214,9727,47188,57473,9730,9731,9732,9733,9734,9735,54814,54815,9736,9740,9741,9742,9743,9744,9745,9746,17396,17397,17398,44643,44644,44645,44646,44647,44639,44638,46347,46348,46349,46350,43477,44088,33153,33154,33155,33156,33157,31337,31338,44085,33004,53413,2144,41767,41763,41764,41765,41766,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,55305,55306,55298,55299,55300,3037,13734,3034,31106,31107,9166,9167
0;44186,44184,44164,5176,5177,5178,5179,5180,5181,5182,5183,5184,5185,5186,5187,5188,5189,5190,5191,5192,5193,5194,61113,61114,5195,5196,40465,40466,40467,40468,40469,40470,40471,40472,40473,40474,40475,40476,43960,43957,43958,43954,49701,49702,49703,49704,13050,36853,36926,7529,7530,7531,13092,5563,5564,5565,5566,5567,5568,5569,5570,5571,5572,5573,5574,5575,5576,5577,5578,5579,5580,5581,5582,5583,5584,5585,5586,5587,36958,36904,36954,36955,36956,36873,36907,54340,36959,45859,55947,55948,36982,58107,58108,58109,58110,36948,36949,36950,36851,43094,36924,36925,6824,6825,6826,6827,6828,40965,15797,15798,55937,54320,7525,7471,7472,7473,7474,7475,55919,16256,66080,17453,11126,11127,11128,15924,15925,15926,28552,28553,11131,43540,43543,43544,43546,43547,59258,59259,43548,50400,59235,29160,29161
2;20421,20426,20427,20445,20446,46651,46661,20450,46704,46705,57275,57276,57277,20452,57220,57221,57222,20455,20456,20457,20465,20466,15313,15314,15315,15316,48731,48732,40496,20458,20460,844,12849,40490,40491,40492,40493,40494,55196,55197,55198,55183,3114,3115,3116,3106,3107,3108,3109,3110,12845,12846,12847,43710,75821,75822,75823,12848,20458,20461,20462,20463,40515,40516,32309,40520,40521,40522,844,12849,40490,40491,40492,40493,40494,55188,55189,55190,6834,6835,6836,6837,20454,68576,68579,68580,68581,40859,40860,40861,40862,2482,9626,9627,9628,9629,9630,9631,9632,41525,41526,39005,39006,2635,2633,39001,38997,38998,38999,39204,39205,39206,39207,39208,2373,2374,2376,44112,41260,2337,44098,39190,39191,39192,39193,39194,39178,39169,2642,39163,39161,39162,145,2644,2645,144,39083,39084,39085,39086,39087,39088,39089,39090,39049,39050,39051,6332,6333,6334,6335,6336,6337,6338,6339,6340,6341,6343,21581,21582,21583,21584,21585,21586,21587,21588,21561,21562,21563,36237,36238,36239,36779,9954,9955,42194,42195,9956,9959,36827,36828,36829,36830,9675,58035,25110,25111,24697,13926,13927,13928
